animal_breed;offence;infringment_date;suburb_name
Pit Bull Terrier;Fail To Contain Dog;2019-12;KARAMA
Jack Russell Terrier;Dog at Large;2020-03;STUART PARK
Heeler;Dog at Large - No ID Device;2020-05;COCONUT GROVE
Mixed Breed;Dog Attack Level 1;2020-06;JINGILI
Heeler;Dog at Large;2019-09;MILLNER
Blue Heeler;Dog at Large;2019-09;LEANYER
Labrador;Dog at Large;2019-09;MALAK
Wolfhound;Dog at Large;2019-09;BAYVIEW
Bandog;Dog at Large;2019-09;BAYVIEW
Mixed Breed;Dog at Large;2019-09;ALAWA
Dingo;Unregistered Dog;2019-10;WULAGI
Dingo;Dog at Large;2019-10;WULAGI
Mixed Breed;Unregistered Dog;2019-12;NT  0000_x000D_
Mixed Breed;Dog at Large;2019-12;ANULA
Bullmastiff;Dog at Large;2020-01;ANULA
Pit Bull Terrier;Dog at Large;2020-04;WULAGI
Pit Bull Terrier;Fail To Contain Dog;2020-04;FANNIE BAY
Wolfhound;Unregistered Dog;2020-05;ANULA
Cross Breed;Unregistered Dog;2020-05;MILLNER
Pit Bull Terrier;Dog Attack Level 2;2020-06;KARAMA
Bullmastiff;Fail To Contain Dog;2020-07;JINGILI
Mixed Breed;Unregistered Dog;2019-09;MALAK
Cross Breed;Dog Attack Level 2;2020-07;LUDMILLA
Mixed Breed;Dog Attack Level 1;2020-07;WULAGI
Pit Bull Terrier;Dog Attack Level 1;2020-08;WULAGI
Pit Bull Terrier;Dog Attack Level 1;2020-07;ANULA
Rhodesian Ridgeback;Dog at Large;2020-10;MALAK
Staffordshire Bull Terrier;Dog Attack Level 1;2020-07;JINGILI
Wolfhound;No Licence to Keep Dogs as Required;2020-08;MALAK
Mixed Breed;Dog Attack Level 1;2020-09;\N
Irish Wolfhound;Dog Attack Level 2;2020-10;WANGURI
Mixed Breed;Dog in a Restricted Area;2021-06;PARAP
Staffordshire Bull Terrier;Dog at Large;2021-09;MALAK
Staffordshire Bull Terrier;Dog Attack Level 1;2021-02;MILLNER
Australian Cattle Dog;Dog at Large;2021-05;MUIRHEAD
Rhodesian Ridgeback;Dog Attack Level 1;2022-01;WOOLNER
American Staffordshire Terrier;Dog Attack Level 2;2022-02;STUART PARK
Mixed Breed;Dog Attack Level 1;2022-03;JINGILI
Bull Arab;Dog Attack Level 2;2022-03;WULAGI
Mixed Breed;Dog Attack Level 1;2022-06;MALAK
Bull Arab;Dog Attack Level 1;2022-07;WULAGI
Kelpie;Unregistered Dog;2021-09;KARAMA
Pit Bull Terrier;Dog at Large;2022-04;JINGILI
Maltese;Fail To Contain Dog;2022-05;LEANYER
Mixed Breed;Fail To Contain Dog;2022-05;ANULA
Bull Arab;Fail To Contain Dog;2022-06;ALAWA
Bull Arab;Dog at Large;2020-10;NAKARA
Rhodesian Ridgeback;Fail To Contain Dog;2020-11;MILLNER
Great Dane;Dog Attack Level 1;2021-05;NIGHTCLIFF
Bullmastiff;Dog Attack Level 1;2021-11;WULAGI
Shar Pei;Unregistered Dog;2021-11;TIWI
Weimaraner;Dog Attack Level 1;2022-02;BENTLEY PARK  QLD  4869
Mixed Breed;Dog Attack Level 1;2022-03;TIWI
Blue Heeler;Dog Attack Level 2;2022-03;TIWI
Mixed Breed;Fail To Contain Dog;2022-04;NIGHTCLIFF
Australian Cattle Dog;Dog Attack Level 1;2022-05;JINGILI
Pit Bull Terrier;Fail To Contain Dog;2022-06;ALAWA
Staffordshire Bull Terrier;Unregistered Dog;2021-11;LUDMILLA
Mixed Breed;Dog Cause Nuisance;2022-01;KARAMA
Jack Russell Terrier;Fail To Contain Dog;2022-01;TIWI
Pit Bull Terrier;Dog at Large;2022-07;MALAK
Bull Arab;Dog Attack Level 1;2022-08;NAKARA
British Bulldog;Fail To Contain Dog;2022-10;COCONUT GROVE
Bull Arab;Dog Attack Level 2;2022-11;ALAWA
Kelpie;Unregistered Dog;2022-11;ALAWA
Pomeranian;Unregistered Dog;2022-12;WAGAMAN
Mixed Breed;Dog at Large;2023-02;STUART PARK
Pit Bull Terrier;Dog at Large;2023-02;KARAMA
Blue Heeler;Dog Attack Level 1;2021-07;TIWI
Bullmastiff;Dog at Large;2021-04;KARAMA
American Pit Bull Terrier;Dog Attack Level 2;2021-02;MILLNER
Cavalier King Charles Spaniel;Dog at Large;2021-10;NIGHTCLIFF
Shar Pei;Fail To Contain Dog;2021-08;NIGHTCLIFF
Rhodesian Ridgeback;Fail To Contain Dog;2021-08;ANULA
Mixed Breed;Fail To Contain Dog;2021-11;COCONUT GROVE
Cavalier King Charles Spaniel;Fail To Contain Dog;2021-11;WANGURI
Mixed Breed;Dog Cause Nuisance;2022-03;KARAMA
Australian Cattle Dog;Dog Attack Level 1;2020-11;WANGURI
Pit Bull Terrier;Fail To Contain Dog;2021-09;ALAWA
Mixed Breed;Dog at Large;2021-07;RAPID CREEK
Bull Arab;Dog at Large;2020-11;KARAMA
Wolfhound;Fail To Contain Dog;2021-12;WAGAMAN
Mixed Breed;Unregistered Dog;2021-11;MALAK
Pit Bull Terrier;Unregistered Dog;2021-07;MALAK
Dingo;Dog at Large;2023-03;COCONUT GROVE
Shar Pei;Fail To Contain Dog;2022-01;MALAK
Bull Terrier;Dog Attack Level 1;2022-02;BRINKIN
Staffordshire Bull Terrier;Dog Attack Level 1;2022-03;MILLNER
Wolfhound;Dog Attack Level 2;2022-03;MILLNER
Wolfhound;Fail To Comply - Conditions Registration;2022-04;MILLNER
Heeler;Dog Attack Level 1;2022-05;TIWI
Heeler;Fail To Contain Dog;2022-05;TIWI
Boxer;Dog at Large;2022-06;WANGURI
Dutch Shepherd;Dog at Large;2022-06;WANGURI
Shar Pei;Unregistered Dog;2023-01;WULAGI
Labrador;Fail To Contain Dog;2023-02;MOIL
