suburb;census_year;state;sub_category;both_parents_born_overseas;father_only_born_overseas;mother_only_born_overseas;both_parents_born_in_australia;birthplace_not_stated_b;total_responses_c;abs_lga
Nightcliff;2011;Northern Territory;New Zealander;33.0;4.0;3.0;0.0;0.0;40.0;Darwin
Parap;2011;Northern Territory;Filipino;50.0;3.0;4.0;3.0;0.0;60.0;Darwin
Parap;2011;Northern Territory;Vietnamese;10.0;3.0;0.0;0.0;3.0;16.0;Darwin
The Narrows (NT);2011;Northern Territory;Filipino;6.0;3.0;3.0;0.0;0.0;12.0;Darwin
The Narrows (NT);2011;Northern Territory;Indian;12.0;0.0;0.0;0.0;0.0;12.0;Darwin
The Narrows (NT);2011;Northern Territory;Scottish;6.0;0.0;3.0;38.0;3.0;50.0;Darwin
The Narrows (NT);2011;Northern Territory;Welsh;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Tiwi;2011;Northern Territory;Croatian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Winnellie;2011;Northern Territory;German;4.0;0.0;3.0;7.0;0.0;14.0;Darwin
Woolner;2011;Northern Territory;Chinese;28.0;3.0;0.0;12.0;0.0;43.0;Darwin
Alawa;2016;Northern Territory;South African;4.0;3.0;3.0;0.0;0.0;9.0;Darwin
Bayview (NT);2016;Northern Territory;Maori;10.0;0.0;0.0;0.0;0.0;11.0;Darwin
Brinkin;2016;Northern Territory;Australian;11.0;25.0;31.0;151.0;0.0;218.0;Darwin
Brinkin;2016;Northern Territory;Italian;16.0;0.0;0.0;9.0;0.0;22.0;Darwin
Brinkin;2016;Northern Territory;South African;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Casuarina (NT);2016;Northern Territory;English;20.0;6.0;9.0;18.0;0.0;45.0;Darwin
Casuarina (NT);2016;Northern Territory;Korean;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Coonawarra (NT);2016;Northern Territory;German;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Coonawarra (NT);2016;Northern Territory;Maltese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Eaton (NT);2016;Northern Territory;New Zealander;0.0;0.0;0.0;0.0;0.0;7.0;Darwin
Eaton (NT);2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Karama;2016;Northern Territory;Welsh;9.0;3.0;0.0;8.0;0.0;20.0;Darwin
Lee Point;2016;Northern Territory;Australian;0.0;3.0;0.0;31.0;0.0;36.0;Darwin
Lee Point;2016;Northern Territory;Polish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Marrara;2016;Northern Territory;Irish;39.0;17.0;9.0;107.0;0.0;169.0;Darwin
Millner;2016;Northern Territory;Maltese;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Ludmilla;2016;Northern Territory;Spanish;3.0;0.0;0.0;0.0;0.0;4.0;Darwin
Malak;2016;Northern Territory;Dutch;21.0;8.0;6.0;11.0;0.0;45.0;Darwin
Parap;2016;Northern Territory;Italian;31.0;12.0;13.0;38.0;0.0;94.0;Darwin
Rapid Creek;2016;Northern Territory;Dutch;28.0;3.0;4.0;10.0;0.0;48.0;Darwin
Stuart Park;2016;Northern Territory;Chinese;144.0;7.0;27.0;25.0;0.0;195.0;Darwin
The Narrows (NT);2016;Northern Territory;Italian;5.0;6.0;0.0;0.0;0.0;7.0;Darwin
Tiwi;2016;Northern Territory;Polish;14.0;0.0;3.0;0.0;0.0;13.0;Darwin
Wagaman;2016;Northern Territory;French;4.0;0.0;0.0;4.0;0.0;5.0;Darwin
Wagaman;2016;Northern Territory;Indian;68.0;0.0;0.0;0.0;0.0;67.0;Darwin
Wagaman;2016;Northern Territory;Other(d);360.0;13.0;25.0;30.0;3.0;429.0;Darwin
Wanguri;2016;Northern Territory;Scottish;28.0;10.0;16.0;88.0;0.0;143.0;Darwin
Winnellie;2016;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Winnellie;2016;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Alawa;2006;Northern Territory;Australian Aboriginal;0.0;6.0;3.0;26.0;0.0;35.0;Darwin
Alawa;2006;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Alawa;2006;Northern Territory;South African;5.0;0.0;0.0;3.0;0.0;8.0;Darwin
Anula;2006;Northern Territory;Vietnamese;17.0;0.0;0.0;0.0;3.0;20.0;Darwin
Jingili;2006;Northern Territory;Lebanese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Karama;2006;Northern Territory;Greek;96.0;35.0;11.0;31.0;11.0;184.0;Darwin
Karama;2006;Northern Territory;Vietnamese;83.0;3.0;0.0;0.0;0.0;86.0;Darwin
Larrakeyah;2006;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;8.0;0.0;8.0;Darwin
Larrakeyah;2006;Northern Territory;American;10.0;3.0;3.0;0.0;0.0;16.0;Darwin
Larrakeyah;2006;Northern Territory;Maltese;3.0;0.0;0.0;4.0;0.0;7.0;Darwin
Larrakeyah;2006;Northern Territory;Spanish;9.0;3.0;0.0;3.0;0.0;15.0;Darwin
Ludmilla;2006;Northern Territory;Italian;16.0;4.0;0.0;15.0;0.0;35.0;Darwin
Malak;2006;Northern Territory;Filipino;101.0;3.0;3.0;0.0;5.0;112.0;Darwin
Malak;2006;Northern Territory;Maltese;3.0;0.0;3.0;3.0;0.0;9.0;Darwin
Malak;2006;Northern Territory;Turkish;0.0;3.0;0.0;0.0;0.0;3.0;Darwin
Moil;2006;Northern Territory;American;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Moil;2006;Northern Territory;Croatian;0.0;0.0;3.0;0.0;0.0;3.0;Darwin
Moil;2006;Northern Territory;Hungarian;3.0;3.0;0.0;0.0;0.0;6.0;Darwin
Moil;2006;Northern Territory;Spanish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nakara;2006;Northern Territory;Maltese;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Nightcliff;2006;Northern Territory;Filipino;42.0;0.0;3.0;0.0;0.0;45.0;Darwin
Nightcliff;2006;Northern Territory;Indian;20.0;0.0;3.0;0.0;0.0;23.0;Darwin
Nightcliff;2006;Northern Territory;Irish;51.0;32.0;14.0;251.0;4.0;352.0;Darwin
Nightcliff;2006;Northern Territory;Welsh;13.0;0.0;0.0;7.0;0.0;20.0;Darwin
Parap;2006;Northern Territory;American;4.0;0.0;0.0;0.0;0.0;4.0;Darwin
Parap;2006;Northern Territory;English;122.0;47.0;35.0;297.0;7.0;508.0;Darwin
Rapid Creek;2006;Northern Territory;Lebanese;3.0;3.0;0.0;0.0;0.0;6.0;Darwin
Stuart Park;2006;Northern Territory;Macedonian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Stuart Park;2006;Northern Territory;South African;0.0;3.0;0.0;0.0;0.0;3.0;Darwin
Tiwi;2006;Northern Territory;English;165.0;64.0;49.0;397.0;20.0;695.0;Darwin
Tiwi;2006;Northern Territory;Filipino;41.0;3.0;7.0;0.0;0.0;51.0;Darwin
Tiwi;2006;Northern Territory;Spanish;10.0;3.0;3.0;0.0;0.0;16.0;Darwin
Wagaman;2006;Northern Territory;Irish;17.0;8.0;4.0;80.0;0.0;109.0;Darwin
Wanguri;2006;Northern Territory;New Zealander;7.0;4.0;0.0;0.0;0.0;11.0;Darwin
Wanguri;2006;Northern Territory;Other(d);110.0;8.0;15.0;19.0;4.0;156.0;Darwin
Winnellie;2006;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Woolner;2006;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Wulagi;2006;Northern Territory;French;12.0;0.0;0.0;0.0;0.0;12.0;Darwin
Wulagi;2006;Northern Territory;Welsh;4.0;0.0;0.0;5.0;0.0;9.0;Darwin
Wulagi;2006;Northern Territory;Other(d);155.0;15.0;17.0;41.0;3.0;231.0;Darwin
Alawa;2011;Northern Territory;Indian;48.0;8.0;0.0;0.0;0.0;56.0;Darwin
Alawa;2011;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Alawa;2011;Northern Territory;Maori;6.0;3.0;4.0;0.0;0.0;13.0;Darwin
Alawa;2011;Northern Territory;Russian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Anula;2011;Northern Territory;New Zealander;13.0;5.0;9.0;3.0;0.0;30.0;Darwin
Anula;2011;Northern Territory;Russian;6.0;0.0;3.0;3.0;0.0;12.0;Darwin
Bayview (NT);2011;Northern Territory;Maori;14.0;3.0;0.0;0.0;0.0;17.0;Darwin
Brinkin;2011;Northern Territory;Australian Aboriginal;0.0;0.0;0.0;3.0;0.0;3.0;Darwin
Brinkin;2011;Northern Territory;English;63.0;21.0;25.0;147.0;8.0;264.0;Darwin
Coconut Grove;2011;Northern Territory;Macedonian;3.0;0.0;0.0;0.0;0.0;3.0;Darwin
Coonawarra (NT);2011;Northern Territory;English;22.0;25.0;15.0;103.0;3.0;168.0;Darwin
Coonawarra (NT);2011;Northern Territory;Korean;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Fannie Bay;2011;Northern Territory;South African;11.0;0.0;0.0;0.0;0.0;11.0;Darwin
Jingili;2011;Northern Territory;Greek;20.0;4.0;0.0;9.0;0.0;33.0;Darwin
Jingili;2011;Northern Territory;Russian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Jingili;2011;Northern Territory;Serbian;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
Jingili;2011;Northern Territory;Turkish;0.0;0.0;0.0;0.0;0.0;0.0;Darwin
