organisation_event;financial_year;grant_type;initiative;cash;in_kind_support;total
Vietnamese Community in Australia – NT Chapter;22/23;Community Grant;Tet Festival 2023 Celebration (Vietnamese Lunar New Year) with folk dance performances, showcasing traditional Vietnamese costume, “Ao Dai” fashion parade and local Vietnamese singers. The Tet Festival is a free community event for all Territorians. Traditional Vietnamese foods and drinks are provided.;3140;0;3140
Vocalective;23/24;Community Grant;Elijah by Felix Mendelssohn;10000;0;10000
Wild North Arts Inc.;23/24;Community Grant;Wild North Comic Con ’24;5000;0;5000
Wildcare Inc.;23/24;Community Grant;Show bags;2000;0;2000
Workforce Plus;24/25;Community Grant;Sensory Community Garden: an inclusive and accessible outdoor space designed for people with dementia and people with disability. Established at Equal Grounds Café in Winnellie;3000;0;3000
Yuyang Yoga;24/25;Sponsorships;Healthy Darwin 2024–25 wet season (Oct–Mar) – Qigong (12 sessions);0;240;240
Zimbabwe Darwin Community Association;21/22;Community Grant;Weekly Dance Nights;5000;0;5000
Arts Access Darwin, Darwin Community Arts;22/23;Community Grant;A group of 6 artists with disability from Arts Access Darwin’s Free Space Studio program will develop original public artwork to be painted on the Sand Creek Foreshore. The artwork titled Tidal Reflections will be thematically integrated with the natural environment of the foreshore.;8097;1750;9847
ASMY;24/25;Sponsorships;Healthy Darwin 2024 dry season weekly activity (July–Sept) – Hatha yoga and mantra (13 sessions);0;520;520
Athletics Northern Territory Incorporated;24/25;Sponsorships;NT City2Surf;10000;500;10500
Athletics Northern Territory Incorporated;22/23;Sponsorships;City2Surf;5000;490;5490
Australia China Friendship Society NT;22/23;Sponsorships;50th Anniversary diplomatic relations celebration between China and Australia;800;0;800
Australian American Association of the Northern Territory Inc;24/25;Sponsorships;USS Peary memorial service;3322;325;3647
Australian Childhood Foundation;24/25;Sponsorships;Youth-focused, trauma-informed alcohol and other drugs practice;0;95;95
Australian Defence For;23/24;Sponsorships;;0;80;80
Australian Institute of Animal Management (AIAM) Workshop;19/20;Sponsorships;;6000;0;6000
Australian Red Cross Society;21/22;Community Grant;SHAK Excursions;5000;0;5000
Belong Group;21/22;Sponsorships;;750;0;750
Big Dog Salad;23/24;Cyclone Tracy 50th Anniversary Commemoration Grants;Feature film;5000;0;5000
Black Candy;21/22;Sponsorships;;1000;0;1000
Brother to Another Inc;23/24;Community Grant;Brother to Another after hours identity program;9000;0;9000
Browns Mart Shimmer;19/20;Sponsorships;;10000;0;10000
Bua Sareng;22/23;Sponsorships;Fee Waiver – Permit Fees;0;268;268
CBD Activation Contingency;19/20;Operational Subsidy;;50000;0;50000
Charles Darwin University;21/22;Environmental Grant;Research – Stephen Reynolds Shading Property;11934;0;11934
Charles Darwin University;21/22;Environmental Grant;George Brown Memorial Scholarship;3000;0;3000
Christmas in Darwin;21/22;Street Light Banner;Free waived fee award;0;16166;16166
Christmas in Darwin Association;22/23;Sponsorships;Carols by Candlelight;0;162;162
Christmas in Darwin Association;23/24;Operational Subsidy;;30000;0;30000
City2Surf (Athletics NT);19/20;Sponsorships;;5000;0;5000
Clubhouse Territory Inc;19/20;Community Grant;Be Inclusive Games – Wheelchair Basketball Program 2019;1400;0;1400
Corrugated Iron Youth Arts;24/25;Community Grant;Youth Performing Arts Festival – Futures Collide: includes workshops, parade and 40th Birthday celebrations for children, young people and emerging and early career artists;10000;0;10000
Corrugated Iron Youth Arts;20/21;COVID-19 Community Grant;COVID-19 Response Grants – Youth Theatre Project;6064;0;6064
Crafts Council of the Northern Territory;24/25;Sponsorships;Tactile Arts Makers Markets;12500;768;13268
Cruiseship Industry;22/23;Sponsorships;Cruise ship Shuttle Buses;0;9720;9720
Darwin Aboriginal Art Fair Foundation;22/23;Sponsorships;Darwin Aboriginal Art Fair;10000;0;10000
Darwin Basketball Association;20/21;Community Grant;Out of Round Community Grants Program 2020/21;3000;0;3000
Darwin Bellydance;24/25;Sponsorships;Healthy Darwin 2025 dry season program – Come and try belly dancing (2 sessions);0;177;177
Darwin Chorale;23/24;Sponsorships;Local theatre production;0;1440;1440
Darwin City Brass Band;19/20;Operational Subsidy;;30000;0;30000
Darwin City Brass Band;20/21;Operational Subsidy;;30000;0;30000
Darwin City Retailers Association Inc;22/23;Sponsorships;Renew Darwin;27160;0;27160
Darwin City Retailers Association Inc;22/23;Sponsorships;Lord Mayor’s Easter Egg Hunt;2000;0;2000
Darwin City Retailers Association Inc;24/25;Sponsorships;Darwin City Retailers Association;15000;0;15000
Darwin Community Arts Incorporated;24/25;Community Grant;A series of workshops creating interactive, multi-sensory, immersive performances made with, by and for people with neurodiversity and disability, children and families;9678;0;9678
Darwin Community Arts Incorporated;20/21;Community Grant;Together While Apart – Skill Share Series;9565;0;9565
Darwin Community Legal Service;24/25;Sponsorships;Legal service;0;200;200
Darwin Cycling Club Incorporated;22/23;Sponsorships;Sunbuild Top End Gran Fondo;10000;0;10000
Darwin Entertainment Centre;22/23;Operational Subsidy;;680000;0;680000
Darwin Lions Beer Can Regatta Inc.;24/25;Sponsorships;Beer Can Regatta 2025;0;1272;1272
Darwin Malayalee Association Incorporated;23/24;Community Grant;Medamasa Ravu 2024;5000;0;5000
Darwin Memorial Uniting Church, Uniting Church in Australia, Northern Synod Property Trust NT;19/20;Community Grant;City Heat Playground;3000;0;3000
Darwin Men’s Shed;21/22;Community Grant;Safer Machinery for Members;1909;0;1909
Darwin Sailes Ltd;23/24;Sponsorships;Darwin Sailes 2024 season;17000;0;17000
Darwin Social Chess Club;23/24;Sponsorships;Sundays weekly 4.15–6.15pm (excluding last Sunday of month);0;280;280
Darwin Symphony Orchestra;23/24;Cyclone Tracy 50th Anniversary Commemoration Grants;Performance of a new Larrakia work;5000;0;5000
Darwin Visual Arts Association;19/20;Community Grant;Darwin CBD Walking Art Tour;9335;0;9335
Deaf Connect;23/24;Community Grant;Celebrating National Week of Deaf People 2023;5017;0;5017
Electric Storm Halloween Music Festival;23/24;Sponsorships;Electric Storm Halloween Music Festival;0;4175;4175
Eliza Barwick Naturopath;24/25;Sponsorships;Healthy Darwin 2024–25 wet season (Oct–Mar) – Nutrition workshops (3 sessions);0;270;270
Ellas Titans Sports Club;21/22;Community Grant;3 x 3 Basketball Series;4179;0;4179
Emilygolady;22/23;Sponsorships;Healthy Darwin Dry Season – Zumba Blush Yoga;0;221;221
Enterprise Learning Projects;23/24;Reconciliation;Reconciliation Week Change Maker Event;10000;0;10000
Environment Centre NT;20/21;COVID-19 Community Grant;COVID-19 Response Grants Round 2 – Growing and Using Local Produce (Darwin);7949;0;7949
Environment Centre NT;20/21;Environmental Grant;Sustainable House Day 2020 – Coolmob;7750;0;7750
Fathima Ilma Ali auspiced by Melaleuca Australia;23/24;Community Grant;Arts and Fashion Show 2023;5000;0;5000
Football Federation Northern Territory;21/22;Community Grant;New Flexible Women’s Football Programs;4500;0;4500
Garuwa;21/22;Sponsorships;;10000;0;10000
Greek Orthodox Community;23/24;Sponsorships;Genifest Festival 2024;0;2250;2250
Greek Orthodox Community;24/25;Sponsorships;Greek Glenti Festival;0;2318;2318
Greening Australia;19/20;Environmental Grant;Whose Rat Is That?;3840;0;3840
HeartKids Ltd;19/20;COVID-19 Community Grant;HeartKids Virtual Playgroup Support Program;4000;0;4000
Henbury School;19/20;Community Grant;Henbury on Aralia;5000;0;5000
HG Fitness;24/25;Sponsorships;Healthy Darwin 2024 dry season weekly activity (July–Sept) – Yogalates (13 sessions);0;177;177
Hospitality NT;23/24;Sponsorships;Local Produce Award and Aristocrat Technologies Awards for Excellence;10909;0;10909
Individual;22/23;Sponsorships;Fee Waiver – Shoal Bay Commercial Fee;0;66;66
Integrated Disability Action;22/23;Sponsorships;International Day of People with Disability;3500;0;3500
Ironbark Aboriginal Corp;21/22;Community Grant;Darwin Youth Forum;5000;0;5000
Jack MacMillan;21/22;Arts Grant;Small Plays in the Swamp;4889;0;4889
Kindness Shake;20/21;COVID-19 Community Grant;COVID-19 Response Grants Round 2 – Kindness Space Project;7500;0;7500
Lakeside Drive Community Garden;24/25;Environmental Grant;Growing with the Seasons community workshops based on the Gulumoerrgin seasonal calendar for sustainable planting, growing and cooking in Darwin;11910;0;11910
Larrakia Nation Aboriginal Corporation;22/23;Sponsorships;Darwin Harbour Clean up;7273;0;7273
Larrakia Nation Aboriginal Corporation;22/23;Sponsorships;NAIDOC Week;25000;45;25045
Larrakia Nation Aboriginal Corporation;24/25;Sponsorships;NAIDOC Week;25000;0;25000
Larrakia Nation Aboriginal Corporation;24/25;Reconciliation;NAIDOC Week event with Berrimah businesses;7000;0;7000
Loong Fong;22/23;Sponsorships;Hospitality Battle of Crete delegation;813;0;813
Malak Marketplace Incorporated;20/21;Community Grant;Out of Round Community Grant 2020/21 – Emerging Music;3150;0;3150
