measure;sector;year;count_amt;type
Employment;Food;2020;345.0;Supply
Turnover (A$m);Drink;2022;155.711345023145;Supply
Turnover (A$m);Food;2020;132.635685051967;Supply
Turnover (A$m);Food;2021;129.356105405399;Supply
Turnover (A$m);Food;2023;146.452404073925;Supply
Establishments;Food;2022;329.0;Core
Employment;Drink;2021;435.0;Core
Employment;Drink;2022;465.0;Core
Employment;Drink;2023;490.0;Core
Employment;Leisure & Entertainment;2023;1570.0;Core
Employment;Food;2022;3415.0;Core
Turnover (A$m);Leisure & Entertainment;2022;292.705941403428;Core
Turnover (A$m);Leisure & Entertainment;2023;325.894712005055;Core
Turnover (A$m);Food;2021;395.826576285054;Core
Establishments;Accommodation;2020;58.0;Non-Core
Establishments;Care;2021;30.0;Non-Core
Establishments;Education;2020;56.0;Non-Core
Establishments;Food;2021;76.0;Non-Core
Establishments;Infrastructure;2021;40.0;Non-Core
Establishments;Infrastructure;2023;31.0;Non-Core
Establishments;Libraries & Archives;2020;0.0;Non-Core
Establishments;Libraries & Archives;2021;0.0;Non-Core
Establishments;Libraries & Archives;2023;0.0;Non-Core
Establishments;Promotion;2023;22.0;Non-Core
Establishments;Research;2023;9.0;Non-Core
Establishments;Retail/Other;2022;216.0;Non-Core
Employment;Accommodation;2020;1105.0;Non-Core
Employment;Accommodation;2021;1225.0;Non-Core
Employment;Accommodation;2023;1430.0;Non-Core
Employment;Care;2020;1100.0;Non-Core
Employment;Care;2022;1065.0;Non-Core
Employment;Design;2021;1020.0;Non-Core
Employment;Design;2023;1665.0;Non-Core
Employment;Education;2020;170.0;Non-Core
Employment;Education;2021;215.0;Non-Core
Employment;Infrastructure;2022;530.0;Non-Core
Employment;Libraries & Archives;2021;0.0;Non-Core
Employment;Research;2022;25.0;Non-Core
Employment;Retail/Other;2020;2390.0;Non-Core
Employment;Retail/Other;2023;2340.0;Non-Core
Employment;Transport;2022;310.0;Non-Core
Employment;Transport;2023;280.0;Non-Core
Turnover (A$m);Care;2022;177.812704298698;Non-Core
Turnover (A$m);Design;2020;223.826625173418;Non-Core
Turnover (A$m);Design;2022;307.853223034511;Non-Core
Turnover (A$m);Education;2023;30.2839245534178;Non-Core
Turnover (A$m);Infrastructure;2023;193.38041446881;Non-Core
Turnover (A$m);Libraries & Archives;2020;0.0;Non-Core
Turnover (A$m);Libraries & Archives;2023;0.0;Non-Core
Turnover (A$m);Promotion;2020;29.1162393543162;Non-Core
Turnover (A$m);Promotion;2021;36.4591993839229;Non-Core
Turnover (A$m);Promotion;2023;41.2549702776524;Non-Core
Turnover (A$m);Research;2020;6.6400835450567;Non-Core
Turnover (A$m);Research;2023;7.1574357622904;Non-Core
