meeting_type;meeting_date;section;title;department;report_type
Ordinary Council;2022-12-07;Action Reports;Nominations for Local Government Association of the Northern Territory (LGANT) Executive;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-12-07;Receive and Note Reports;Pavement Report;Community;Standard Report
Ordinary Council;2022-07-26;Action Reports;Memorial Policy;Community;Standard Report
Ordinary Council;2022-07-26;Receive and Note Reports;Movement Strategy Update;Innovation;Standard Report
Ordinary Council;2022-08-16;Action Reports;Partial Acquittals of Northern Territory Government 2021-22 Grants;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-08-16;Action Reports;Place Names Application - Michael Paspalis Park - Lot 3940 (25) Mitchell Street & Lot 5796 (7) Herbert Street, Darwin;Innovation;Standard Report
Ordinary Council;2022-08-16;Receive and Note Reports;Installation of Speed Check Signs around Darwin Schools;Innovation;Standard Report
Ordinary Council;2022-08-16;Receive and Note Reports;Advice on Municipal Boundary Changes;Innovation;Standard Report
Ordinary Council;2022-08-30;Action Reports;Babylon Bar - On-going Use of the Road Reserve to Operate a Small Bar;Innovation;Standard Report
Ordinary Council;2022-08-30;Action Reports;Darwin Christmas Pageant 2022;Innovation;Standard Report
Ordinary Council;2022-08-30;Receive and Note Reports;Sister City Proposal from Indonesian Chamber of Commerce and Industry;Innovation;Standard Report
Ordinary Council;2022-08-30;Receive and Note Reports;Tier 2 Bi-annual Performance Report: January - June 2022;Corporate;Standard Report
Ordinary Council;2022-09-27;Notices of Motion;Notice of Motion - The Uluru Statement from the Heart;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-09-27;Action Reports;Motions for the November 2022 LGANT General Meeting;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2022-09-27;Receive and Note Reports;Provisional Monthly Financial Report - August 2022;Corporate;Standard Report
Ordinary Council;2022-11-10;Receive and Note Reports;Community Advisory Committee Minutes;Community;Standard Report
Ordinary Council;2022-10-25;Notices of Motion;Notice of Motion - Public Toilet Hierarchy Classification Review for Sporting Ovals;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-10-25;Action Reports;2022-2024 Sister City Advisory Committee Terms of Reference;Innovation;Standard Report
Ordinary Council;2022-10-25;Receive and Note Reports;Football NT Malak Oval Change Rooms Project – Petition Opposing Location;Community;Standard Report
Ordinary Council;2022-10-25;Information Item;Incoming Correspondence - Football Northern Territory - Report on Alternative Malak Oval Site;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2022-11-15;Action Reports;Review of Car Parking Policy;Innovation;Standard Report
Ordinary Council;2022-11-15;Receive and Note Reports;Unconfirmed Open Minutes - Risk Management and Audit Committee (RMAC) -  21 October 2022;Corporate;Standard Report
Ordinary Council;2022-11-29;Notices of Motion;Notice of Motion - Sale of Walkway 239, Coconut Grove;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2022-11-29;Action Reports;Submission to Inquiry into Community Safety, Support Services and Job Opportunities in the Northern Territory;Community;Standard Report
Ordinary Council;2022-11-29;Action Reports;Review Chief Executive Officer Code of Conduct Policy;Corporate;Standard Report
Ordinary Council;2022-11-29;Receive and Note Reports;Monthly Financial Report - October 2022;Corporate;Standard Report
Ordinary Council;2022-11-29;Receive and Note Reports;Play Space Strategy 2022-2030 Consultation Outcomes;Community;Standard Report
Ordinary Council;2022-11-29;Receive and Note Reports;Policy Management - 23rd Council Policy Review Schedule;Corporate;Standard Report
Ordinary Council;2022-06-12;Action Reports;1st Budget Review 2022/2023;Corporate;Standard Report
Ordinary Council;2023-07-02;Action Reports;The Three-Year Review of the Liquor Act 2019;Community;Standard Report
Ordinary Council;2023-07-02;Action Reports;Place Names Application - Defence Housing Australia - Naming of six Roads in Precinct 2 - Lot 4873 (577) Lee Point Road, Lee Point;Innovation;Standard Report
Ordinary Council;2023-07-02;Action Reports;Nomination to the Northern Territory Planning Commission;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-07-02;Action Reports;City of Darwin By-Laws - 2022 Consultation Outcomes;Community;Standard Report
Ordinary Council;2023-07-02;Receive and Note Reports;Monthly Financial Report - November 2022;Corporate;Standard Report
Ordinary Council;2023-07-02;Information Item;Incoming Correspondence - Department of The Chief Minister and Cabinet - Procedural Fairness in Deciding Code of Conduct Complaints;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2023-02-28;Notices of Motion;Notice of Motion - Chief Executive Officer Performance Appraisal Committee;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-03-14;Notices of Motion;Notice of Motion - Nightcliff Oval Changerooms;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-03-14;Receive and Note Reports;Unconfirmed Open Minutes - Risk Management and Audit Committee (RMAC) -  24 February 2023;Corporate;Standard Report
Ordinary Council;2023-03-14;Information Item;Incoming Correspondence - Minister for Veterans' Affairs | Minister for Defence Personnel - Bombing of Darwin Commemorative Service;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2023-03-28;Action Reports;Place Names Policy;Innovation;Standard Report
Ordinary Council;2023-03-28;Action Reports;Sports Field Lighting - Consultation Outcomes;Community;Standard Report
Ordinary Council;2023-03-28;Action Reports;Request for Temporary Storage Container at Fannie Bay Oval;Community;Standard Report
Ordinary Council;2023-11-04;Action Reports;Review of Community Engagement Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-04-26;Action Reports;Friendship City Proposal with the Bacolod City, Negros Occidental, Philippines;Innovation;Standard Report
Ordinary Council;2023-05-16;Notices of Motion;Notice of Motion - Establishment of Cyclone Tracy Advisory Committee;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-05-30;Lord Mayoral Minute;Lord Mayoral Minute - Condolence Motion Dr Ella Stack;Office of the Lord Mayor and CEO;Lord Mayoral Minute
Ordinary Council;2023-05-30;Action Reports;Sign Application - Paradise Outdoor Advertising - Lot 7246 (16) Swan Crescent, Winnellie;Innovation;Standard Report
Ordinary Council;2023-05-30;Action Reports;Application to Play Music in Licensed Outdoor Dining Area - Seabreeze Nightcliff;Innovation;Standard Report
Ordinary Council;2023-05-30;Receive and Note Reports;Quarterly Performance Report: January - March 2023 (Q3);Corporate;Standard Report
Ordinary Council;2023-05-30;Receive and Note Reports;Engagement Outcomes - Nightcliff Village Masterplan Process;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-06-27;Action Reports;Reconciliation Action Plan 2023 to 2025;Community;Standard Report
Ordinary Council;2023-06-27;Action Reports;Reconciliation Advisory Committee Terms of Reference;Community;Standard Report
Ordinary Council;2023-06-27;Action Reports;Review of Sponsorship Policy;Innovation;Standard Report
Ordinary Council;2023-06-27;Action Reports;City of Darwin By-Laws;Community;Standard Report
Ordinary Council;2023-06-27;Receive and Note Reports;Monthly Financial Report - May 2023;Corporate;Standard Report
Ordinary Council;2023-11-07;Action Reports;Review of Elected Members Expenses, Facilities and Support Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-11-07;Information Item;Incoming Correspondence - Minister for Infrastructure, Planning and Logistics - Defence Accommodation Precinct;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2023-07-25;Action Reports;Long Term Financial Plan;Corporate;Standard Report
Ordinary Council;2023-07-25;Receive and Note Reports;Committee Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-08-15;Action Reports;Establishment of New Friendship City with Ho Chi Minh City, Vietnam;Innovation;Standard Report
Ordinary Council;2023-08-29;Action Reports;Smart Bench Update;Innovation;Standard Report
Ordinary Council;2023-08-29;Receive and Note Reports;Committee Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-12-09;Action Reports;Policy Management - 23rd Council Policy Review Schedule;Corporate;Standard Report
Ordinary Council;2023-12-09;Action Reports;Review of Property Policies;Innovation;Standard Report
Ordinary Council;2023-09-26;Notices of Motion;Notice of Motion - Irrigation in Waters Ward;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-09-26;Notices of Motion;Notice of Motion - Karama Childcare Centre;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-09-26;Action Reports;Nominations for the Darwin Division of the Development Consent Authority;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-09-26;Action Reports;Review of Animal Management Policy;Community;Standard Report
Ordinary Council;2023-09-26;Action Reports;Carry Forward Budget 2022-2023 and Reserve Balances as at 30 June 2023;Corporate;Standard Report
Ordinary Council;2023-09-26;Action Reports;Local Government Association of the Northern Territory Call for Motions;Corporate;Standard Report
Ordinary Council;2023-09-26;Receive and Note Reports;Interim Monthly Financial Report - August 2023;Corporate;Standard Report
Ordinary Council;2023-09-26;Receive and Note Reports;Response to Alternative Commonwealth Capabilities for Crisis Response Discussion Paper;Corporate;Standard Report
Ordinary Council;2023-10-17;Notices of Motion;Notice of Motion - Support for the Voice to Parliament;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2023-10-17;Action Reports;Review of Remotely Piloted Aircraft Policy;Corporate;Standard Report
Ordinary Council;2023-10-31;Action Reports;Sister City Relationship with Milikapiti;Innovation;Standard Report
Ordinary Council;2023-10-31;Action Reports;Property Policies;Innovation;Standard Report
Ordinary Council;2023-10-31;Receive and Note Reports;Committee Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-11-14;Action Reports;Review of Financial Reserves Policy;Corporate;Standard Report
Ordinary Council;2023-11-14;Action Reports;Mayor's Forum Travel;Innovation;Standard Report
Ordinary Council;2023-11-14;Action Reports;Review of Risk Management Policy;Corporate;Standard Report
Ordinary Council;2023-11-14;Action Reports;Updated Terms of Reference Cyclone Tracy Commemoration Advisory Committee;Innovation;Standard Report
Ordinary Council;2023-11-14;Receive and Note Reports;Smart City Framework and Management Plan;Innovation;Standard Report
Ordinary Council;2023-11-28;Receive and Note Reports;Monthly Financial Report - October 2023;Corporate;Standard Report
Ordinary Council;2023-11-28;Receive and Note Reports;Chief Executive Officer Register of Declared Gifts and Benefits;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2023-05-12;Information Item;Incoming Correspondence - Minister for Infrastructure, Planning and Logistics - Appointments to the Development Consent Authority;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2024-06-02;Action Reports;Nomination to Northern Territory Heritage Council and Northern Territory Place Names Committee;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-06-02;Action Reports;Creative Strategy 2024-2030;Community;Standard Report
Ordinary Council;2024-06-02;Action Reports;Grant Acquittal of Local Government Immediate Priority Grant 2021-22 - Security Upgrades Casuarina Library Courtyard;Community;Standard Report
Ordinary Council;2024-06-02;Receive and Note Reports;Monthly Financial Report - November 2023;Corporate;Standard Report
Ordinary Council;2024-06-02;Receive and Note Reports;Business Ambassador;Innovation;Standard Report
Ordinary Council;2024-06-02;Information Item;Outgoing Correspondence - Minister for Essential Services - Undergrounding Power Lines;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2024-02-27;Action Reports;Review of Privacy Policy;Corporate;Standard Report
Ordinary Council;2024-02-27;Receive and Note Reports;Irrigation Status of Park and Open Space Areas in the Waters Ward;Community;Standard Report
Ordinary Council;2024-02-27;Receive and Note Reports;Quarterly Performance Report - October to December 2023 (Q2);Corporate;Standard Report
Ordinary Council;2024-02-27;Receive and Note Reports;Tier 2 Bi-Annual Performance Report - July to December 2023;Corporate;Standard Report
Ordinary Council;2024-02-27;Receive and Note Reports;Committee Meeting Open Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-02-27;Information Item;Incoming Correspondence - Minister for Local Government - 2023-24 Local Government Immediate Priority Grants;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2024-03-26;Action Reports;Chief Executive Officer Performance Appraisal Committee;Corporate;Standard Report
Ordinary Council;2024-03-26;Receive and Note Reports;Update on Code of Conduct Outcomes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-03-26;Receive and Note Reports;Elected Member Allowances 2024/2025;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-04-30;Notices of Motion;Notice of Motion - Speed Limit Changes;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2024-04-30;Action Reports;Submission to Joint Standing Committee on Civic Education, Engagement and Participation;Corporate;Standard Report
Ordinary Council;2024-04-30;Receive and Note Reports;Monthly Financial Report - March 2024;Corporate;Standard Report
Ordinary Council;2024-04-30;Receive and Note Reports;Committee Meeting Open Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-04-30;Receive and Note Reports;Quarterly Performance Report: January - March 2024 (Q3);Corporate;Standard Report
Ordinary Council;2024-04-30;Information Item;PLACEHOLDER BRIEFING - Deputation - Darwin Entertainment Centre - Amphitheatre - 23 April 2024;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2024-05-28;Notices of Motion;Notice of Motion - Installation of Footpaths on Batten Road, Marrara;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2024-05-28;Receive and Note Reports;Engagement Outcomes - Draft Bundilla Beach Master Plan;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-05-28;Receive and Note Reports;Update on Code of Conduct Outcomes;Corporate;Standard Report
Ordinary Council;2024-11-06;Action Reports;Bundilla Beach Master Plan;Corporate;Standard Report
Ordinary Council;2024-11-06;Action Reports;Strategic and Priority Projects Plan 2030;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-07-30;Action Reports;Nomination to Northern Territory Minister's Advisory Council for Senior Territorians;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-07-30;Action Reports;Advocacy and Partnerships Plan 2030;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-07-30;Receive and Note Reports;Engagement Outcomes - Smith Street Streetscape Improvements;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-07-30;Receive and Note Reports;Advisory and Risk Management and Audit Committee (RMAC) Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-08-13;Notices of Motion;Notice of Motion - Revenue Report;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2024-08-27;Action Reports;Place Names Application - Hidden Valley Subdivision - Naming of Five Roads - Lot 6809 (0) Hidden Valley Road, Hidden Valley;Innovation;Standard Report
Ordinary Council;2024-08-27;Receive and Note Reports;Tier 2 Bi-Annual Performance Report - January to June 2024;Corporate;Standard Report
Ordinary Council;2024-09-24;Notices of Motion;Notice of Motion - Safety Improvements for Shared Path Intersections;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2024-09-24;Action Reports;Public Tree Management Policy and Procedure;Community;Standard Report
Ordinary Council;2024-09-24;Action Reports;Carry Forward Budget 2023-2024 and Reserve Balances as at 30 June 2024;Corporate;Standard Report
Ordinary Council;2024-09-24;Action Reports;Appointments to Council Executive and Advisory Committees;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-09-24;Receive and Note Reports;Policy Management - 23rd Council Policy Review Schedule;Corporate;Standard Report
Ordinary Council;2024-09-24;Receive and Note Reports;Advisory, Information Communication Technology (ICT) Steering Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-10-29;Notices of Motion;Notice of Motion - Parking in the Darwin City Centre;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2024-10-29;Action Reports;Review of Customer Conduct Policy and Customer Feedback Policy;Corporate;Standard Report
Ordinary Council;2024-10-29;Receive and Note Reports;Advisory Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-11-26;Action Reports;Elected Member Casual Vacancy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2024-11-26;Action Reports;Review of Independent Commissioner Against Corruption Procedure;Corporate;Standard Report
Ordinary Council;2024-11-26;Action Reports;Review of Fraud Prevention Policy and Procedure;Corporate;Standard Report
Ordinary Council;2024-11-26;Action Reports;Review of Asset Management Plan – Land;Corporate;Standard Report
Ordinary Council;2024-11-26;Action Reports;Access and Inclusion Advisory Committee Budget Recommendation;Community;Standard Report
Ordinary Council;2025-01-28;Notices of Motion;Notice of Motion - Land Aquisition and Disposal Policy Update;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-01-28;Receive and Note Reports;Inclusive Progress Pride Flag Maintenance Cost Update;Corporate;Standard Report
Ordinary Council;2025-01-28;Receive and Note Reports;Monthly Financial Report - December 2024;Corporate;Standard Report
Ordinary Council;2025-01-28;Receive and Note Reports;Advisory Committees and Information Communication Technology (ICT) Steering Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-02-25;Receive and Note Reports;Quarterly Performance Report - October to December 2024 (Q2);Corporate;Standard Report
Ordinary Council;2025-03-25;Action Reports;Nomination to the Northern Territory Planning Commission;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-03-25;Receive and Note Reports;Elected Member Allowances 2025/2026;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-03-25;Receive and Note Reports;Advisory Committees and Risk Management and Audit Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-08-04;Action Reports;Planning Scheme Amendment - Rezone from Zone MR (Medium Density Residential) to a Specific Use Zone - Lot 11258 (7) Waratah Crescent, Fannie Bay;Innovation;Standard Report
Ordinary Council;2025-04-29;Receive and Note Reports;Quarterly Performance Report - January to March 2025 (Q3);Corporate;Standard Report
Ordinary Council;2025-04-29;Receive and Note Reports;Update on Code of Conduct Outcomes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-04-29;Receive and Note Reports;Advisory Committees and Information Communication Technology Steering Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-05-27;Action Reports;Percentage for Arts Policy;Community;Standard Report
Ordinary Council;2025-05-27;Receive and Note Reports;Monthly Financial Report - April 2025;Corporate;Standard Report
Ordinary Council;2025-05-27;Receive and Note Reports;Engagement Outcomes - Parap Pool Training Facility Proposal;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-06-24;Action Reports;Declaration of Rates and Charges 2025/2026;Corporate;Standard Report
Ordinary Council;2025-06-24;Action Reports;Shading Nightcliff Foreshore;Corporate;Standard Report
Ordinary Council;2025-06-24;Action Reports;Review of Land Acquisition and Disposal Policy;Innovation;Standard Report
Ordinary Council;2025-08-07;Action Reports;Review of Caretaker Policy;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-07-29;Action Reports;Access Strategy 2025-2030;Community;Standard Report
Ordinary Council;2025-07-29;Action Reports;Update Funding Guidelines;Community;Standard Report
Ordinary Council;2025-07-29;Receive and Note Reports;Quarterly Performance Report - April to June 2025 (Q4);Corporate;Standard Report
Ordinary Council;2025-07-29;Receive and Note Reports;Update on Code of Conduct Outcomes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-07-29;Receive and Note Reports;Advisory Committee and Information Communications Technology Steering Committee and Risk Management and Audit Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-09-30;Action Reports;Planning Scheme Amendment - Rezone land in zone Low-Medium Density Residential to a Specific Use - 121 Mitchell Street and 12 Doctors Gully Road;Innovation;Standard Report
Ordinary Council;2025-09-30;Action Reports;Planning Scheme Amendment - To facilitate group dwelling and multiple dwelling - Zone LMR (NT-wide);Innovation;Standard Report
Ordinary Council;2025-09-30;Action Reports;Reappointment of External Committee Members - Information Communication Technology (ICT) Steering Committee;Corporate;Standard Report
Ordinary Council;2025-09-30;Action Reports;Appointments to Council Executive and Advisory Committees - 24th Council;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-09-30;Information Item;Northern Territory Remuneration Tribunal - Local Government Councils Entitlements 2026;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2025-10-28;Notices of Motion;Notice of Motion - Review of Elected Member ICT and Support Policy;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-10-28;Action Reports;Exceptional Development Permit - Subdivision for 2 Lots - 2 Scott Street, Fannie Bay;Innovation;Standard Report
Ordinary Council;2025-10-28;Receive and Note Reports;Quarterly Performance Report - July to September 2025 (Q1);Corporate;Standard Report
Ordinary Council;2025-11-25;Notices of Motion;Notice of Motion - Community Meetings;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-11-25;Action Reports;1st Budget Review 2025/2026;Corporate;Standard Report
Ordinary Council;2025-11-25;Action Reports;Planning Scheme Amendment to the Landscaping Provisions in the NT Planning Scheme;Innovation;Standard Report
Ordinary Council;2025-11-25;Action Reports;Review of Risk Management Policy;Corporate;Standard Report
Ordinary Council;2025-11-25;Action Reports;Domestic Family Violence Memorial Proposal;Community;Standard Report
Ordinary Council;2025-11-25;Action Reports;Casuarina Aquatic and Leisure Centre Pool Heating;Community;Standard Report
Ordinary Council;2025-11-25;Receive and Note Reports;Mirawood Estate - Park Upgrade;Corporate;Standard Report
Ordinary Council;2025-11-25;Receive and Note Reports;Policy Management - 24th Council Policy Review Schedule;Corporate;Standard Report
Ordinary Council;2025-11-25;Receive and Note Reports;Advisory Committees and Risk Management and Audit Committee Open Meeting Minutes;Office of the Lord Mayor and CEO;Standard Report
Ordinary Council;2025-02-12;Notices of Motion;Notice of Motion - Approval for Community Presentation by Save Lee Point;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-02-12;Notices of Motion;Notice of Motion - Request for Independent Legal Advice on the City of Darwin's Obligations Regarding Acceptance of DHA Infrastructure at Lee Point;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-02-12;Information Item;Incoming Correspondence - Cyclone Fina;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2025-02-12;Information Item;Outgoing Correspondence - Cyclone Fina;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2026-01-27;Notices of Motion;Notice of Motion - CBD Business Initiatives;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2026-01-27;Notices of Motion;Notice of Motion - Disabled Parking in Darwin CBD;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2026-01-27;Action Reports;Community Feedback Outcome - Walkway 199 Lippia Court to Applegum Drive Karama;Community;Standard Report
Ordinary Council;2026-01-27;Receive and Note Reports;Monthly Financial Report - December 2025;Corporate;Standard Report
Ordinary Council;2026-01-27;Receive and Note Reports;Monthly Financial Report - November 2025;Corporate;Standard Report
Ordinary Council;2026-01-27;Receive and Note Reports;Tier 2 Bi-Annual Performance Report - July to December 2025;Corporate;Standard Report
Ordinary Council;2026-01-27;Information Item;Incoming Correspondence - Heritage Council - Heritage Significance of the Esplanade;Office of the Lord Mayor and CEO;Information Item
