meeting_type;meeting_date;section;title;department;report_type
Ordinary Council;2025-11-25;Receive and Note Reports;Installation of Shade Cover in Grebe Park;Corporate;Standard Report
Ordinary Council;2025-02-12;Notices of Motion;Notice of Motion - Full Explanation of the Asset Acceptance Process for the DHA Development at Lee Point (Binybara);Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-02-12;Notices of Motion;Notice of Motion - Cost Benefit Analysis of the DHA Development at Lee Point;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2025-02-12;Action Reports;Application for Exceptional Development Permit - Darwin Bowls Club - Caravan Park (Recreational Vehicle Park) in 3 Stages - Lot 5437 - 8 Conacher Street, Fannie Bay;Innovation;Standard Report
Ordinary Council;2025-02-12;Action Reports;Application for Exceptional Development Permit - Six Dwellings in Zone LR (Low Density Residential) - Lot 1222 - 4 Berry Place, Millner;Innovation;Standard Report
Ordinary Council;2025-02-12;Action Reports;Infill Development and Subdivision in Zone LR (Low Density Residential);Innovation;Standard Report
Ordinary Council;2026-01-27;Notices of Motion;Notice of Motion - Confidential Budget Forum;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2026-01-27;Action Reports;Submission on Land Development Corporation - Strategic Reset;Innovation;Standard Report
Ordinary Council;2026-01-27;Action Reports;Welcoming Cities;Innovation;Standard Report
Ordinary Council;2026-01-27;Action Reports;Preliminary Cost Estimate Report for the Scope of Work Requested by a Notice of Motion Lee Point Development;Innovation;Standard Report
Ordinary Council;2026-01-27;Receive and Note Reports;Quarterly Performance Report - October to December 2025 (Q2);Corporate;Standard Report
Ordinary Council;2026-01-27;Information Item;Incoming Correspondence - Minister for Lands, Planning and Environment - Development Consent Authority Appointments;Office of the Lord Mayor and CEO;Information Item
Ordinary Council;2019-07-16;Action Reports;Property Council 20 by 20 Reforms;Office of the Lord Mayor and CEO;Action Required
Ordinary Council;2019-07-16;Receive and Note Reports;Darwin 2030 - Strategic Plan Performance Management Framework - Placescore Survey;Office of the Lord Mayor and CEO;Receive & Note
Ordinary Council;2019-07-30;Action Reports;Risk Management & Audit Committee - Terms of Reference;Corporate;Action Required
Ordinary Council;2019-07-30;Receive and Note Reports;MONTHLY FINANCIAL REPORT - JUNE 2019 (Interim);Corporate;Receive & Note
Ordinary Council;2019-08-13;Notices of Motion;Notice of Motion - Parap Pool Power Usage;Office of the Lord Mayor and CEO;Notice of Motion
Ordinary Council;2019-08-27;Action Reports;Darwin Velodrome Precinct Consultation Outcomes;Community;Action Required
Ordinary Council;2019-08-27;Action Reports;Darwin Street Art Festival - Proposal for West Lane;Community;Action Required
Ordinary Council;2019-08-27;Action Reports;Reconciliation Action Plan - Project Management Plan;Community;Action Required
Ordinary Council;2019-08-27;Action Reports;Public Charging Stations For Electric Vehicles;Innovation;Action Required
