abs_lga;suburb;census_year;state;category;sub_category;speaks_english_only;very_well_or_well;not_well_or_not_at_all;total_1;not_stated_b;total_2
Darwin;Ludmilla;2016;Northern Territory;;German;;7.0;0.0;7.0;0.0;7.0
Darwin;Ludmilla;2016;Northern Territory;;Korean;;0.0;0.0;0.0;0.0;0.0
Darwin;Lyons (NT);2016;Northern Territory;;Speaks English only;1662.0;;;;;1662.0
Darwin;Malak;2016;Northern Territory;;French;;4.0;0.0;3.0;0.0;3.0
Darwin;Malak;2016;Northern Territory;Indo-Aryan languages;Punjabi;;4.0;0.0;4.0;0.0;4.0
Darwin;Malak;2016;Northern Territory;Southeast Asian Austronesian languages;Filipino;;58.0;0.0;58.0;0.0;62.0
Darwin;Marrara;2016;Northern Territory;;Spanish;;3.0;0.0;3.0;0.0;3.0
Darwin;Marrara;2016;Northern Territory;;Vietnamese;;0.0;0.0;0.0;0.0;0.0
Darwin;Millner;2016;Northern Territory;Chinese languages;Cantonese;;7.0;0.0;10.0;0.0;10.0
Darwin;Millner;2016;Northern Territory;;Italian;;8.0;0.0;9.0;0.0;9.0
Darwin;Millner;2016;Northern Territory;;Samoan;;0.0;0.0;0.0;0.0;0.0
Darwin;Moil;2016;Northern Territory;;Vietnamese;;16.0;0.0;22.0;0.0;22.0
Darwin;Muirhead;2016;Northern Territory;;Thai;;3.0;0.0;3.0;0.0;3.0
Darwin;Nakara;2016;Northern Territory;;Arabic;;16.0;0.0;16.0;0.0;16.0
Darwin;Nightcliff;2016;Northern Territory;;Spanish;;12.0;0.0;12.0;0.0;12.0
Darwin;Parap;2016;Northern Territory;Indo-Aryan languages;Bengali;;0.0;0.0;0.0;0.0;0.0
Darwin;Stuart Park;2016;Northern Territory;Indo-Aryan languages;Other(d);;70.0;0.0;74.0;0.0;74.0
Darwin;Stuart Park;2016;Northern Territory;Southeast Asian Austronesian languages;Indonesian;;30.0;0.0;27.0;0.0;27.0
Darwin;The Gardens (NT);2016;Northern Territory;;Italian;;3.0;0.0;3.0;0.0;3.0
Darwin;The Narrows (NT);2016;Northern Territory;;Dutch;;0.0;0.0;0.0;0.0;0.0
Darwin;The Narrows (NT);2016;Northern Territory;Indo-Aryan languages;Punjabi;;0.0;0.0;0.0;0.0;0.0
Darwin;Wagaman;2016;Northern Territory;;Language spoken at home not stated;;0.0;0.0;3.0;238.0;243.0
Darwin;Wanguri;2016;Northern Territory;Indo-Aryan languages;Punjabi;;6.0;0.0;6.0;0.0;6.0
Darwin;Woolner;2016;Northern Territory;Indo-Aryan languages;Punjabi;;0.0;0.0;0.0;0.0;0.0
Darwin;Woolner;2016;Northern Territory;Southeast Asian Austronesian languages;Tagalog;;12.0;0.0;12.0;0.0;12.0
Darwin;Wulagi;2016;Northern Territory;Chinese languages;Cantonese;;4.0;5.0;7.0;0.0;7.0
Darwin;Wulagi;2016;Northern Territory;;Korean;;5.0;0.0;5.0;0.0;5.0
Darwin;Coconut Grove;2016;Northern Territory;Indo-Aryan languages;Bengali;;24.0;0.0;25.0;0.0;25.0
Darwin;Coconut Grove;2016;Northern Territory;;Maltese;;0.0;0.0;0.0;0.0;0.0
Darwin;Jingili;2016;Northern Territory;Chinese languages;Mandarin;;12.0;5.0;19.0;0.0;19.0
Darwin;Karama;2016;Northern Territory;;Language spoken at home not stated;;16.0;0.0;16.0;550.0;567.0
Darwin;Leanyer;2016;Northern Territory;Chinese languages;Cantonese;;49.0;22.0;71.0;0.0;71.0
Darwin;Leanyer;2016;Northern Territory;;Greek;;227.0;45.0;268.0;3.0;276.0
Darwin;Lee Point;2016;Northern Territory;;Arabic;;0.0;0.0;0.0;0.0;0.0
Darwin;Lyons (NT);2016;Northern Territory;Indo-Aryan languages;Other(d);;4.0;0.0;5.0;0.0;5.0
Darwin;Anula;2016;Northern Territory;;Dutch;;0.0;0.0;0.0;0.0;0.0
Darwin;Anula;2016;Northern Territory;;Japanese;;0.0;0.0;0.0;0.0;0.0
Darwin;Anula;2016;Northern Territory;;Samoan;;0.0;0.0;0.0;0.0;0.0
Darwin;Bayview (NT);2016;Northern Territory;Indo-Aryan languages;Hindi;;3.0;0.0;3.0;0.0;3.0
Darwin;Bayview (NT);2016;Northern Territory;Indo-Aryan languages;Punjabi;;0.0;0.0;0.0;0.0;0.0
Darwin;Bayview (NT);2016;Northern Territory;;Serbian;;0.0;0.0;0.0;0.0;0.0
Darwin;Brinkin;2016;Northern Territory;;Greek;;69.0;5.0;74.0;0.0;73.0
Darwin;Brinkin;2016;Northern Territory;;Vietnamese;;5.0;4.0;8.0;0.0;8.0
Darwin;Casuarina (NT);2016;Northern Territory;Chinese languages;Cantonese;;5.0;3.0;8.0;0.0;8.0
Darwin;Casuarina (NT);2016;Northern Territory;Chinese languages;Other(c);;0.0;0.0;0.0;0.0;0.0
Darwin;Coonawarra (NT);2016;Northern Territory;;Afrikaans;;0.0;0.0;0.0;0.0;0.0
Darwin;East Point;2016;Northern Territory;;Spanish;;0.0;0.0;0.0;0.0;0.0
Darwin;East Point;2016;Northern Territory;;Vietnamese;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;;Australian Indigenous Languages;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;Indo-Aryan languages;Bengali;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;Indo-Aryan languages;Sinhalese;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;Indo-Aryan languages;Urdu;;0.0;0.0;0.0;0.0;0.0
Darwin;Eaton (NT);2016;Northern Territory;;Language spoken at home not stated;;0.0;0.0;0.0;13.0;13.0
Darwin;Fannie Bay;2016;Northern Territory;;Dutch;;4.0;0.0;4.0;0.0;4.0
Darwin;Fannie Bay;2016;Northern Territory;;Language spoken at home not stated;;11.0;0.0;11.0;249.0;269.0
Darwin;Jingili;2016;Northern Territory;;Afrikaans;;0.0;0.0;0.0;0.0;0.0
Darwin;Jingili;2016;Northern Territory;;Turkish;;0.0;0.0;0.0;0.0;0.0
Darwin;Karama;2016;Northern Territory;;Speaks English only;2877.0;;;;;2877.0
Darwin;Karama;2016;Northern Territory;;Samoan;;3.0;0.0;3.0;0.0;3.0
Darwin;Larrakeyah;2016;Northern Territory;;Australian Indigenous Languages;;21.0;0.0;21.0;3.0;24.0
Darwin;Larrakeyah;2016;Northern Territory;;Italian;;43.0;0.0;48.0;0.0;48.0
