abs_lga;census_year;suburb;state;country_of_birth;0_4_years;5_14_years;15_24_years;25_44_years;45_54_years;55_64_years;65_74_years;75_84_years;85_years_and_older;total
Darwin;2016;Leanyer;Northern Territory;Taiwan;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;12.0
Darwin;2016;Lee Point;Northern Territory;Poland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Lee Point;Northern Territory;Wales;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Ludmilla;Northern Territory;Nepal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
Darwin;2016;Ludmilla;Northern Territory;Thailand;0.0;6.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;9.0
Darwin;2016;Malak;Northern Territory;Germany;0.0;0.0;0.0;5.0;0.0;3.0;0.0;3.0;0.0;12.0
Darwin;2016;Malak;Northern Territory;Iraq;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Millner;Northern Territory;Hong Kong (SAR of China)(c);0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;8.0
Darwin;2016;Millner;Northern Territory;Country of Birth Not stated;28.0;23.0;45.0;111.0;43.0;30.0;21.0;10.0;0.0;325.0
Darwin;2016;Moil;Northern Territory;Malaysia;0.0;0.0;5.0;3.0;4.0;3.0;4.0;0.0;0.0;14.0
Darwin;2016;Muirhead;Northern Territory;Thailand;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
Darwin;2016;Nakara;Northern Territory;Bangladesh;0.0;0.0;6.0;11.0;0.0;0.0;0.0;0.0;0.0;21.0
Darwin;2016;Nakara;Northern Territory;Nepal;0.0;0.0;3.0;6.0;0.0;0.0;0.0;0.0;0.0;15.0
Darwin;2016;Nakara;Northern Territory;South Eastern Europe, nfd(d);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Nakara;Northern Territory;The Former Yugoslav Republic of Macedonia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Nightcliff;Northern Territory;Country of Birth Not stated;37.0;21.0;35.0;172.0;65.0;38.0;41.0;10.0;0.0;414.0
Darwin;2016;Parap;Northern Territory;Scotland;0.0;0.0;0.0;3.0;4.0;3.0;6.0;0.0;0.0;16.0
Darwin;2016;Stuart Park;Northern Territory;New Zealand;5.0;3.0;11.0;47.0;24.0;29.0;7.0;3.0;0.0;126.0
Darwin;2016;Stuart Park;Northern Territory;Pakistan;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
Darwin;2016;The Gardens (NT);Northern Territory;Iraq;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;The Gardens (NT);Northern Territory;Lebanon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;The Narrows (NT);Northern Territory;Thailand;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;The Narrows (NT);Northern Territory;The Former Yugoslav Republic of Macedonia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Tiwi;Northern Territory;Bosnia and Herzegovina;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Tiwi;Northern Territory;Korea, Republic of (South);0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;9.0
Darwin;2016;Tiwi;Northern Territory;Wales;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Wagaman;Northern Territory;Bangladesh;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
Darwin;2016;Wagaman;Northern Territory;China (excludes SARs and Taiwan)(c);0.0;9.0;11.0;28.0;13.0;0.0;0.0;0.0;0.0;66.0
Darwin;2016;Wanguri;Northern Territory;Fiji;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
Darwin;2016;Wanguri;Northern Territory;South Eastern Europe, nfd(d);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Wanguri;Northern Territory;Country of Birth Not stated;18.0;23.0;22.0;67.0;34.0;20.0;15.0;0.0;0.0;191.0
Darwin;2016;Winnellie;Northern Territory;Chile;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Winnellie;Northern Territory;Croatia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Winnellie;Northern Territory;New Zealand;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;6.0
Darwin;2016;Woolner;Northern Territory;Nepal;0.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
Darwin;2016;Wulagi;Northern Territory;Northern Ireland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Wulagi;Northern Territory;Scotland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Anula;Northern Territory;Korea, Republic of (South);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Anula;Northern Territory;Country of Birth Not stated;15.0;37.0;19.0;64.0;27.0;29.0;19.0;0.0;0.0;218.0
Darwin;2016;Bayview (NT);Northern Territory;Egypt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Brinkin;Northern Territory;Nepal;0.0;0.0;4.0;13.0;0.0;0.0;0.0;0.0;0.0;24.0
Darwin;2016;Casuarina (NT);Northern Territory;Bosnia and Herzegovina;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Casuarina (NT);Northern Territory;Fiji;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Casuarina (NT);Northern Territory;Hong Kong (SAR of China)(c);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
Darwin;2016;Casuarina (NT);Northern Territory;Netherlands;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Casuarina (NT);Northern Territory;Taiwan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Coconut Grove;Northern Territory;Germany;0.0;0.0;3.0;8.0;3.0;0.0;4.0;4.0;0.0;16.0
Darwin;2016;Coconut Grove;Northern Territory;Scotland;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;11.0
Darwin;2016;Coonawarra (NT);Northern Territory;Croatia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Coonawarra (NT);Northern Territory;India;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Darwin;2016;Coonawarra (NT);Northern Territory;Italy;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
