animal_name;animal_sex;animal_type;animal_neut;main_breed;second_breed;main_color;second_color;suburb_name
Bullee;M;Dog;Y;Australian Bulldog;;White;Black;KARAMA
Bear;M;Dog;Y;Pomeranian;;Black;;JINGILI
Butters;F;Dog;Y;Pit Bull Terrier;;Chocolate;;STUART PARK
Panda;F;Dog;Y;Moodle;;Black;White;LYONS
Tinkerbell;F;Cat;Y;Tabby;Cross Breed;Grey;White;ANULA
Rocky;M;Dog;N;Cross Breed;;Tan;;WAGAMAN
Fredrick;M;Dog;Y;Dachshund (Miniature);;Red;;STUART PARK
Tia;F;Dog;Y;Rhodesian Ridgeback;Staghound;Gold;;LUDMILLA
Rocky;M;Dog;Y;Bull Terrier;;White;;LEANYER
The Duchess;F;Cat;Y;Siamese;;Cream;;KARAMA
Dukey;M;Dog;Y;Great Dane;American Staffordshire Terrier;Black;White;JINGILI
Lachie;M;Dog;Y;Labradoodle;;Black;White;LARRAKEYAH
Cindy;F;Dog;Y;Pit Bull Terrier;Cross Breed;Tan;;ANULA
Finn;M;Dog;Y;German Shepherd Dog;;White;;MALAK
Lola;M;Dog;Y;Labrador;Cross Breed;Black;;MILLNER
Tracker;M;Dog;Y;Blue Heeler;;Blue;;WANGURI
Murray;M;Dog;Y;Labrador;;Brown;;NIGHTCLIFF
Seven;M;Dog;Y;Husky;German Shepherd Dog;Black;;TIWI
Molly;F;Dog;Y;Boxer;;Tan;;STUART PARK
Ginger;F;Dog;Y;Labrador;Golden Retriever;Ginger;;MARRARA
Bella Rodrigues;F;Dog;Y;Beagle;;Red;White;LEANYER
Kacee;F;Dog;Y;Rottweiler;;Black;Tan;KARAMA
Sheldon;M;Dog;Y;West Highland White Terrier;;White;;NIGHTCLIFF
Fanta;M;Cat;Y;Domestic Short Haired;;Ginger;;JINGILI
Tigerine;F;Cat;Y;Domestic Short Haired;;Tabby;;BAYVIEW
Judge;M;Dog;Y;Australian Shepherd;;Tri Colour;;KARAMA
Morgan;M;Dog;Y;Spoodle;;Red;;LARRAKEYAH
Bella;F;Dog;Y;Blue Heeler;Mixed Breed;Blue;Tan;COCONUT GROVE
Ari;M;Dog;N;Rottweiler;Mixed Breed;Tri Colour;;WAGAMAN
Jaz;F;Dog;N;Chihuahua;Mixed Breed;Tan;;NIGHTCLIFF
Baloo;M;Dog;Y;Mixed Breed;;Black;White;WANGURI
Baxter;M;Dog;Y;Dachshund;;Black;Tan;MUIRHEAD
Frankie;F;Dog;Y;French Bulldog;;Tan;;FANNIE BAY
Chilli;M;Dog;Y;Spoodle;;Red;;ANULA
Karma;F;Dog;Y;Wolfhound;Bullmastiff;White;Black;MUIRHEAD
Simon;M;Dog;Y;Mixed Breed;;Tan;;MALAK
Oscar;M;Cat;Y;Tabby;;Grey;Black;KARAMA
Ruby;F;Dog;Y;Blue Heeler;;Blue;;ANULA
Chips;F;Cat;Y;Burmese;;Chocolate;;LUDMILLA
Pepper;F;Dog;Y;German Shepherd Dog;;Sable;;JINGILI
Bonnie;F;Dog;Y;Shih Tzu;Cross Breed;Black;White;ALAWA
Happy;M;Dog;Y;Wolfhound;Cross Breed;Brindle;;BRINKIN
Buttercup;F;Dog;Y;Mixed Breed;;Unknown;;JINGILI
Chief;M;Dog;Y;Staffordshire Bull Terrier;;Sable;;RAPID CREEK
Checkie;M;Dog;Y;Chihuahua;Cross Breed;Tri Colour;;KARAMA
Sarabi;F;Cat;Y;Tabby;;Tabby;;NIGHTCLIFF
Banjo;M;Dog;N;Staffordshire Bull Terrier;;Black;Brindle;NIGHTCLIFF
