lga;census_year;state;category;sub_category;males;females;persons;year_text
Darwin (C);2011;Northern Territory;Highest year of school completed(e);Year 12 or equivalent;14084.0;14795.0;28879.0;2011
Darwin;2021;Northern Territory;Age groups;05-14 years;5022.0;4812.0;9829.0;2021
Darwin;2021;Northern Territory;Age of persons attending an education institution(e);05-14 years;4561.0;4371.0;8926.0;2021
Darwin;2021;Northern Territory;Highest year of school completed(f);Year 11 or equivalent;3358.0;2876.0;6239.0;2021
Darwin (C);2011;Northern Territory;Birthplace;Australia;23317.0;22126.0;45443.0;2011
Darwin (C);2011;Northern Territory;Count of persons in occupied private dwellings;Count of persons in occupied private dwellings(f);31642.0;31433.0;63075.0;2011
Darwin (C);2006;Northern Territory;Indigenous persons;Aboriginal;2483.0;2867.0;5350.0;2006
Darwin (C);2016;Northern Territory;Age groups;25-34 years;8240.0;8038.0;16277.0;2016
Darwin (C);2016;Northern Territory;Age groups;65-74 years;2632.0;2234.0;4862.0;2016
Darwin (C);2006;Northern Territory;Highest year of school completed(f);Year 10 or equivalent;5261.0;4494.0;9755.0;2006
Darwin (C);2006;Northern Territory;Total persons;Total persons;34207.0;32083.0;66290.0;2006
Darwin (C);2006;Northern Territory;Indigenous persons;Torres Strait Islander;149.0;122.0;271.0;2006
Darwin (C);2016;Northern Territory;Birthplace;Elsewhere(c);12459.0;12500.0;24961.0;2016
Darwin (C);2016;Northern Territory;Highest year of school completed(f);Year 8 or below;1094.0;1102.0;2193.0;2016
Darwin (C);2006;Northern Territory;Age groups;25-34 years;5713.0;5599.0;11312.0;2006
Darwin (C);2006;Northern Territory;Age of persons attending an educational institution(e);20-24 years;416.0;600.0;1016.0;2006
